"","min","max","mean","sd"
"X1",15.4999999994833,15.4999999994833,15.4999999994833,0
"X2",15.0740740735158,16.4285714279847,15.9357539676956,0.193849350514251
"X3",13.9999999992632,17.4347826079376,15.832442974152,0.675325932212606
"X4",12.5833333322847,18.1176470577578,15.5529847903971,1.04747278002147
"X5",10.2499999974375,20.1428571414184,15.4565456360034,1.48125733690342
"X6",11.2499999971875,20.69999999793,15.6153933312361,1.67993044846324
"X7",11.1666666648056,20.1666666633056,15.7615930903271,1.82142700682081
"X8",10.49999999475,22.2499999944375,16.1935228879156,2.38925261097794
"X9",10.9999999945,24.49999998775,16.5623744690639,2.62560891202694
"X10",10.999999989,29.99999997,17.438678068847,3.30903121291615
"X11",11.999999988,28.999999971,17.6204451260752,3.26840412960265
